Name,Type,One Liner,Industry,Website,Description,Business Model,Mega-trend,Driver,Value Chain Position,Stack Position,Theme,Focus Area,Opportunity Space- OLD,Tagged Opp Space?,Opp Space (V1),Final Opp Space,Founded,Employees,Country,City,Location,Funded,Funding Stage,Latest Funding Date,Latest Funding (USD),Total Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Owner,Checked,Inc. Radar,Hero,BHG Partnered,OLD - Focus Areas,OLD - Opp Space,Input,RM Relationship,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Result,0.3,0.5,0.2,Text to no.conversion,Rnd,Contact - Email,Contact - LinkedIn
Abyssal,Startup,Develops sub-sea navigation technology for ROVs using 3D & AR,Maritime,https://abyssal.eu,"Abyssal develops sub-sea navigation technology for Remotely Operated Vehicles (ROVs) using 3D & AR. Using this software solution, oil & gas exploration companies can better visualize ROV piloting and supervision, improving navigation, spatial awareness, and others in real-time in low light environment in a 270 degree view. Also, provides Command Center software for real-time monitoring of worldwide operations. Also, provides Overlay software for image and video management and video recording of the media sent by ROVs to command center. Has applications in oil & gas exploration, monitoring, mining, fishing, aquaculture, and other marine applications. Some of its partners are IMCA, Blueview, Tritech etc.",,,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2012,11-50,Portugal,Porto,Europe,Yes,Seed,,,,Nascent,,2,Hazel,Yes,TRUE,TRUE,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,for subsea operation though,0.5,0,1,0.35,Nascent,,,,,42498,"bsantos@abyssal.eu
 rsimao@abyssal.eu
 mparente@abyssal.eu
 jferreira@abyssal.eu","http://linkedin.com/in/brunommsantos
 http://linkedin.com/in/hugomsar
 http://pt.linkedin.com/in/rsimao
 http://linkedin.com/in/mparente
 http://linkedin.com/in/jpdferreira"
Adnavem,Startup,,Shipping,https://www.adnavem.com/,Online market platform for multi-modal freight forwarding services,,,,,,Digital Trading,Online Marketplace,Freight Forwarding,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2017,11-50,Sweden,,Europe,Yes,Series A,,,"4,000,000",Nascent,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,47824,,
AduanaWeb,Startup,,Maritime,https://www.aduanaweb.com.br/,Online platform for customs clearance in LATAM,,,,,,Data Utilisation,Automating Compliance,Product validation and document management,,Deprioritised,Deprioritised,2014,1-10,Brazil,,Global,Yes,Undisclosed,,,,Nascent,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,6568,,
AELER Technologies,,,Shipping,https://aeler.com,"AELER is an AI-powered, logistics technology company transforming containerized shipping.",,,,,,Digital Trading,Intelligent Sourcing,Smart' containers (supply chain visibility with digitally enhanced containers),Yes,Supply chain optimisation,Deprioritised,2018,1-10,Switzerland,,Europe,Yes,Seed,,,"1,361,382",Nascent,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,31345,,
Aeon Renewables,Startup,Water based biofuel additive to existing fuels for reducing emissions,Energy,https://www.aeonrenewables.com,Water based biofuel additive to existing fuels for reducing emissions,,,,,,Decarbonisation,New Fuels,,,Supply new fuels,Physical Supply of New Fuels,2014,1-10,USA,Oakland,Global,No,Unfunded,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,Fuel & Efficiency,Fuel Additives,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,6525,,
AfterShip,,,Shipping,https://www.aftership.com,AfterShip is a shipment tracking platform for online retailers.,,,,,,Data Utilisation,Market Intelligence,Shipment visibility,Yes,Cargo tracking,Cargo Tracking,2012,51-200,China,,Global,Yes,Series A,,,"2,000,000",Emerging,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,24637,,
Airoboticsdrones,Startup,"Airobotics provides an end-to-end, fully automatic solution for collecting aerial data and gaining invaluable insights.",Technology,https://www.airoboticsdrones.com,Port Monitoring and Traffic Control: Aerial situational awareness beyond the shoreline for purposes of vessel navigation and security Environmental Health and Safety  - Operational Oversight,,,,,,New Customer Services,Other,,,,Deprioritised,2014,51-200,Israel,,Global,Yes,Series D,,,"123,100,000",Emerging,,,Vish,Yes,,,FALSE,,,Old,,,0.5,0.66,1,0.68,Emerging,,,,,3601,,
Agree Freight,Startup,Online platform for vessel booking,Shipping,https://agreefreight.com,"Agree Freight is a web-based platform that connects shippers with container carriers. Shippers can enter the port of loading and destination; and the platform displays all sailings on the given route by ETD, ETA, Last Loading Day and price. Platform enables shippers to view real-time container freight rates offered by carriers and make a booking or bid their own price. Platform also offers a priority service 'Hot Box' with must load policy, extended cut off times, top stow, priority discharge at destination ports. Platform also charges a 'No Show' fee if shippers fail to deliver the freight to the booked vessel.",Logistics Tech > Freight > Ocean or Air > Carrier Booking > Ocean,,,,,Digital Trading,Digital Bunker Trading,Real time freight rates,Yes,Digital trading operations (merged with trade execution),Digital Trading Operations,2016,1-10,China,,Global,No,Unfunded,,,,Nascent,,,Miles,Yes,TRUE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,,0.5,0,1,0.35,Nascent,,,,,29545,nick@agreefreight.com,http://linkedin.com/in/nick-coverdale-fcilt-14659531
Aida Tech,Startup,AI-based predictive analytics solutions for financial institutions,Maritime,http://aidatech.io,Aida designs and develops an artificial intelligence platform that uses predictive analytics and intelligent systems for risk compliance management in the financial services sector. Its platform identifies inconsistencies in health claims and alert claims officers of possible fraud.,,,,,,Data Utilisation,Automating Compliance,Fraud detection,,Deprioritised,Deprioritised,2016,11-50,Singapore,,Global,Yes,Series A,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,,3.4 Port value added services,Old,General Scouting,,0.5,0.33,1,0.515,Emerging,,,,,18778,,
AiDock,Startup,AI-enabled trade documentation solutions,Unrelated,https://aidock.net,AiDock provides AI-enabled trade documentation solutions. The company leverages machine learning algorithms to offer an online platform to process documents and generate customs clearance files.,"Logistics Tech > Freight > Software Solutions > Trade Documentation
 Plug and Play Tech Center Batches > Supply Chain > Batch 6",,,,,Data Utilisation,Automating Compliance,,,Deprioritised,Deprioritised,2018,11-50,Israel,,Global,Yes,Series A,,,"1,300,000",Nascent,,,Miles,,TRUE,,FALSE,Data & AI,Trade Digitization and Analytics,Old,Decarb,specialize in courier and custom clearance,0.5,0.33,1,0.515,Emerging,,,,,44609,"eddie@aidock.net
 sean@aidock.net","http://linkedin.com/in/eddie-galantzan-b9298227
 http://linkedin.com/in/sean-galantzan-73020a124"
Ambri,,Liquid Metal Battery technology,Energy,https://ambri.com/,Develops and commercializes a new technology of liquid metal battery that costs significantly less than existing batteries,,,,,,Decarbonisation,Eco-vessel Design,,,Deprioritised,Deprioritised,2010,51-100,USA,Cambridge,Global,Yes,Series C,,,"67,290,642",Mature,,,,,TRUE,,FALSE,Fuel & Efficiency,Energy Efficiency & Storage,Old,General Scouting,,1,0.66,1,0.83,Mature,,,,,244,,
American Fuel Cell,,Membrane Electrode Assembly developer,Renewables,http://www.americanfuelcell.us/,Premier supplier of individually tailored Membrane Electrode Assemblies (MEA) for multiple Fuel Cell Applications.,,,,,,Decarbonisation,Eco-vessel Design,,,Deprioritised,Deprioritised,2014,1-10,USA,Rochester,Global,Yes,Seed,,,"50,000",Nascent,,,,,TRUE,,FALSE,Fuel & Efficiency,New Fuel Types,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,13531,,
Aircarbon,Startup,AirCarbon is a Singapore-based Commodities Exchange using distributed ledger technology on a traditional trading architecture.  It leverages blockchain architecture to create securitized carbon credit on Ethereum and ERC20 & ERC721 tokens.,Blockchain,https://aircarbon.co/,"AirCarbon is a Singapore-based Commodities Exchange built on a blockchain architecture based on a Ethereum and ERC20 & ERC721 tokens. The Exchange, currently supported by the Sustainable Energy Association of Singapore (SEAS) and the Digital Exchange Association (DXA), is a platform for the distribution and trading of carbon mitigating investment opportunities and carbon credits generated by those carbon mitigating projects.",,,,,,Decarbonisation,Emission Trading & Offsetting,Blockchain carbon project trading,,Emissions trading,Emissions Trading,2019,1-10,Singapore,Singapore,Global,Yes,Seed,,,"556,962",Nascent,,,Vish,Yes,TRUE,TRUE,FALSE,"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,Old,,,0.5,0,1,0.35,Nascent,,,,,39789,,
AnyLogistix,,"anyLogistix is a software for supply chain optimization, network design, and analysis. It allows manufacturers to model supply chain end-to-end, analyze inventory, suppliers, sourcing and transportation, do ""what-if"" analysis, and analyze supply chain throughput and capacity, optimize inventory, supply chain risk assessment, and production capacity planning.",Logistics,https://www.anylogistix.com,"Supply chain optimization, network design and analysis software",,,,,,New Customer Services,Other,,,,Deprioritised,2015,1-10,Russia,St. Petersburg,Europe,No,Unfunded,,,Not Applicable,Nascent,,,Vish,Yes,,,FALSE,Data & AI,Demand & Supply Prediction,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,48457,,
Applicat,,"Applicat provides Hormiga, a end to end field service management &amp; workforce software. Provides features for scheduling, dispatching, inventory and asset management, real time monitoring, route optimisation, knowledge base, collaboration through work order sharing, analytical tools and more.",Logistics,http://www.applicat.com,"Provides features for scheduling, dispatching, inventory and asset management, real time monitoring, route optimisation, knowledge base, collaboration through work order sharing, analytical tools and more.",,,,,,New Customer Services,Other,,,,Deprioritised,2009,1-10,Israel,Tel Aviv,Global,No,Unfunded,,,Not Applicable,Emerging,,,Vish,Yes,,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,1,0,1,0.5,Emerging,,,,,30119,,
Tradlinx,Startup,Online comparison and marketplace platform for maritime logistics,Adjacent,https://tradlinx.com,"Tradlinx provides an online platform for comparison and booking of ocean freight. Customers can compare and book FCL, FCL and bulk cargo from the platform. They can also access information related to shipping schedules of major shipping lines, forwarding companies, and port information.It is focussed on small and medium businesses who have less knowhow of import/export processes.",Logistics Tech > Freight > Ocean or Air > Forwarding > Marketplace,,,,,Data Utilisation,NEW,Freight forwarding,,,,2015,,South Korea,,Global,Yes,Undisclosed,,,Unknown,Nascent,,2,Hazel,Yes,FALSE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,"Fully Korean website, but impressive client list",0.5,0,0,0.15,Nascent,,,,,4334,david.nam@tradlinx.com,"http://linkedin.com/in/%ED%83%9C%EC%84%AD-%EC%8B%A0-5b2b16136
 http://linkedin.com/in/david-nam-36574530"
Ankeri Solutions,,We are developing cloud based platform to enable charters and shipowners to share and benefit from ship performance data. Ankeri is our second startup within ship performance. We are currently working with a major container operator as development customer/partner and we are aiming to expand to Bulk carriers.,Technology,https://www.ankeri.net,Developer of software products for shipping industry,,,,,,Digital Trading,Intelligent Sourcing,Supply chain visability,Yes,Cargo Tracking,Cargo Tracking,2016,1-10,Iceland,,Europe,Yes,Seed,,,"665,000",Nascent,,,Vish,Yes,TRUE,,FALSE,,,Old,,,0.5,0,1,0.35,Nascent,,,,,32451,,
ArrayComm,,MIMO antenna signal processing,Telecomm,https://www.kymetacorp.com,"ArrayComm develops software for wireless infrastructure and client device applications (in LTE and WiMAX ) to improve baseband performance. Also provides Multi-antenna signal (MAS) processing suite, A-MAS, for base station and mobile/CPE applications in 4G. Its solution combines MIMO, beamforming, and interference cancellation aspects to improve user experiences and network economics through enhanced coverage, data rates, and system capacities. Owned by Ygomi.",,,,,,New Customer Services,Other,,,,Deprioritised,1992,51-100,USA,San Jose,Global,Yes,Series D,,,"45,000,000",Mature,,,Vish,Yes,,,FALSE,Data & AI,5G Connectivity,Old,General Scouting,,1,0.66,1,0.83,Mature,,,,,7937,,
Air Cargo Bid,Startup,Air cargo marketplace,Aviation,https://www.aircargo-bid.com,"AirCargo-Bis is an online marketplace for connecting shippers and air cargo service providers. The shippers can request a bid for shipping by providing required item and delivery details. The registered forwarders and transportation providers bid on this request. The company compiles all the bids nd provides the shipper with the lowest bid. The shippers can approve the bid, pay via approved methods and AirCargo-Bid will then transfer the shipment on their behalf.",,,,,,Digital Trading,Online Marketplace,Integrated marketplace,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2015,1-10,USA,Suwanee,Global,No,Unfunded,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,Business Model Innovation,Switching Transport Mode,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,8727,,
Arta,,Online logistics platform for specialized cargo,Logistics,https://shiparta.com/,"Arta offers an online platform to book and track logistics services for specialized/sensitive goods (such as fine art, antiques, collectibles & designer goods). The platform enables users to receive quotes from multiple verified art shipping companies. Users can then choose a quote of their choice and book services. Services include transportation, shipping, packing & crating. The platform also enables real-time tracking/shipment visibility and online payments. Clients include Anton Kern Gallery, Marian Goodman Gallery, and Aspen Art Museum among others.",,,,,,New Customer Services,Customer Lifecycle Management,,,Deprioritised,Deprioritised,2014,11-50,USA,New York City,Global,Yes,Seed,,,"4,000,000",Nascent,,,Vish,Yes,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,30431,,
Astyx,,"SATCOM linearizers, automotive radars, and industry sensors provider",Telecomm,https://www.optinav.com,"ASTYX  provides SATCOM (satellite communication) linearizers, automotive radars, and industry sensors to the customers. Its product portfolio includes SATCOM linearizers (used in power amplifiers for fast data transmission systems, leads to energy savings), automobile radar systems (77GHz radar systems using digital beamforming technology), and industry sensors (offshore oil &amp; gas, pneumatic actuators, and proximity sensors).",,,,,,New Customer Services,Other,,,,Deprioritised,1997,51-100,Germany,Ottobrunn,Europe,No,Series B,,,Undisclosed,Emerging,,,Vish,Yes,,,FALSE,Data & AI,5G Connectivity,Old,General Scouting,,1,0.33,1,0.665,Emerging,,,,,11586,,
Air Freight Bazaar,Startup,Online platform for air cargo tariff,Aviation,http://www.airfreightbazaar.com,"AirFreight Bazar provides an online platform for aggregating air cargo tariff rates. Carriers, forwarders, and other stakeholders can provide their air cargo tariff rates to customers using the platform. Apart from tariff rates, it also provides flight schedule information, AWB tracking and flight status information on the website.",,,,,,Digital Trading,Online Marketplace,Online marketplace,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2015,11-50,India,Chennai,Global,Yes,Acquired,,,,Emerging,,,Miles,,TRUE,,FALSE,Business Model Innovation,Switching Transport Mode,Old,General Scouting,,0.5,0.66,1,0.68,Mature,,,,,5504,,
Aurelia Turbines,,Small gas turbine manufacturer,Energy,https://aureliaturbines.com/,"The turbines are built for multiple applications such as CHP, steam process, O&G and others. ",,,,,,Decarbonisation,Eco-vessel Design,,,Deprioritised,Deprioritised,2013,11-50,Finland,Lappeenranta,Europe,Yes,Series A,,,"4,519,250",Emerging,,,,,TRUE,,FALSE,Fuel & Efficiency,Energy Efficiency & Storage,Old,General Scouting,,0.5,0.33,1,0.515,Emerging,,,,,39676,,
Air Freight Bid,,Online air-freight marketplace,Aviation,https://www.airfreight.bid,"Air Freight is an online marketplace for finding , comparing and booking air freight rates from multiple service providers. The website does not charge users for finding and booking the carriers on their website. However, it charges carriers to get listed on their website. Users can just upload their requirement from excel sheet or any other table, choose from the carrier rates provided and confirm to the selected carrier.",,,,,,Digital Trading,Online Marketplace,Online marketplace,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2013,1-10,Switzerland,Widnau,Europe,No,Unfunded,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,13194,,
AIRates,,Air freight marketplace,Aviation,https://www.airates.com,AIRates provides door to door air freight costs by tieing up with local cargo agents. Services can be booked via phone or the website.,,,,,,Digital Trading,Online Marketplace,Online marketplace,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2013,1-10,United Kingdom,London,Europe,No,Unfunded,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,16209,,
Airrays,Startup,Adaptive antenna systems enabling MIMO,Telecomm,http://airrays.com,"Airrays provides adaptive antenna systems for the RAN, enabling a large number of active antenna elements as required for MIMO (Multiple Input Multi Output). Its technology utilizes integrated RF and signal processing components and is scalable up to 100+ active elements.",,,,,,New Customer Services,Other,,,,Deprioritised,2013,51-100,Germany,Dresden,Europe,Yes,Acquired,,,"86,900,000",Emerging,,,Miles,,,,FALSE,Data & AI,5G Connectivity,Old,General Scouting,,0.5,0.66,1,0.68,Emerging,,,,,19072,,
astrosat.space,,"Commercial space services. Sourcing, analysing and deploying satellite driven data",Technology,https://www.astrosat.space/,Commercial solutions provider using space technology,,,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2012,11-50,United Kingdom,,Europe,Yes,Seed,,,"275,000",Nascent,,,,,TRUE,,FALSE,,,Old,,,0.5,0,1,0.35,Nascent,,,,,45927,,
Bare Conductive,,"Adding sensor intelligence to almost any surface, space or material. through conductive paint",Electronics,www.bareconductive.com,Bare Conductive is a design and technology company that uses printed electronics technology to integrate electronics into the environment.,,,,,,New Customer Services,Other,,,,Deprioritised,2009,11-50,United Kingdom,,Europe,Yes,Seed,,,Undisclosed,Emerging,,,Vish,Yes,,,FALSE,,,Old,,,1,0,1,0.5,Emerging,,,,,7962,,
Akasa Labs,Startup,Blockchain based smart contracts driven trade finance solution,Software,https://akasalabs.com,"Akasa Labs provides a network to connect all participants viz-a-viz banks, exporters, importers, port authorities, shipping and ground transport companies. Documents like the letter of credit, bill of lading are generated and registered on the blockchain, the distributed trusted ledger cuts across all these parties and lets them communicate and transact without the need of a central authority. As of February 2017, they are accelerated by Bosch and claims to be piloting a cross border trade use-case using Smart Contracts and IoTs.","Blockchain > Supply Chain & Logistics > SCM Software
 Logistics Tech > Freight > Software Solutions > Payments",,,,,Data Utilisation,Automating Compliance,,,Deprioritised,Deprioritised,2014,1-10,India,,Global,Yes,Undisclosed,,,,Nascent,,1,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,website not working,0.5,0,1,0.35,Nascent,,,,,23979,"aravind@akasalabs.com
 a.aravindbharathi@gmail.com
 cibilan@akasalabs.com","http://linkedin.com/in/aravindbharathiasokan
 http://linkedin.com/in/cibilan-j-a2a9b087"
Akselos,Startup,Saas-based operational simulation and predictive analytics platform,Maritime,https://akselos.com,"Akselos provides an advanced SaaS-based operational simulation and predictive analytics platform. This platform enables engineers to perform detailed, fully-3D analysis of large-scale complex systems in seconds, which eliminates major problems across a wide range of engineering disciplines. Its features include modeler, condition-based modeling, multi-scenario asset analysis, hydrodynamic analysis of floating assets, pressure vessel & pipeline analysis, rotary machine analysis, and dynamic stochastic modeling.",,,,,,Data Utilisation,Intelligent & Autonomous Shipping,Vessel Monitoring / Digital Twins,Yes,Deprioritised,Deprioritised,2010,51-200,Switzerland,Lausanne,Europe,Yes,Series A,,,"12,200,000",Mature,,1,Miles,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,Recently worked with Shell,1,0.33,1,0.665,Mature,,,,,4047,"thomas.leurent@akselos.com
 david.knezevic@akselos.com","https://linkedin.com/in/tleurent
 https://linkedin.com/in/david-knezevic-288bb344"
AKUA,Corporate Venture,IoT based secure tracking solution,Technology,https://www.akua-inc.com/,"AKUA provides secure, persistent environmental monitoring and tracking solutions for inter-modal cargo containers and protects against loss of cybercrime, theft, damage or spoilage. Platform AKUA is a secure Data as a Service (DaaS) gateway platform for the supply chain and logistics markets. Technology authenticates IoT sensors, devices, and edge data by employing tracking devices, multi-layer security, in-transit analytics, and web services based supply chain tracking and monitoring. Spunout of CyberPoint, which is the second spin-off after PivotPoint Risk Analytics in 2015. Awarded a fixed price contract by the DHS and BMD to participate in the Container Security Device Technology Demonstration",,,,,,New Customer Services,Other,,,,Deprioritised,2016,11-50,USA,Baltimore,Global,Yes,Series A,,,"3,000,000",Emerging,,,Miles,,,,FALSE,Supply chain optimisation,End-to-end supply chain transparency,Old,General Scouting,,0.5,0.33,1,0.515,Emerging,,,,,9796,,
Bestrane,,"Bestrane provides technology solutions for the logistics industry. Its products include Focus 8020 -  a software solution for operational modeling, Bestrane Gateway - an integration tool to connect carriers with Descartes wGLN, MobileDOCK - an appointment booking and execution solution, Bestrane Speed Monitor - a speed and driving monitoring platform, Truck Tracker -  a mobile application for truck drivers. The company also resells Descartes products and claims to be the sole distributor of the Descartes TMS suite in Australia and New Zealand.",Logistics,https://bestrane.com.au/,Developer and reseller of technology solutions for logistics,,,,,,New Customer Services,Other,,,,Deprioritised,2003,11-50,Australia,South Melbourne,Global,Yes,Undisclosed,,,Unknown,Emerging,,,Vish,Yes,,,FALSE,Data & AI,Fleet Utilization,Old,,,1,0,1,0.5,Emerging,,,,,5056,,
